course_id,name,department,units
60-220,IDeATe Technical Character Animation,Art,10
60-223,IDeATe Portal: Introduction to Physical Computing,Art,10
60-239,"Reading Pictures, Writing Photography",Art,9
60-241,Black and White Photography II,Art,10
60-242,Digital Photography II,Art,10
60-250,2D Media Studio: Painting,Art,10
60-251,2D Media Studio: Print Media,Art,10
60-333,IDeATe: Character Rigging for Production,Art,10
60-353,"Critical Studies: Media Performance - History, Theory, and Contemporary Practice",Art,9
60-350,Business Fundamentals for Creative Practices,Art,9
60-398,Critical Studies: Social History of Animation,Art,9
60-358,Critical Studies: Queer Film and Media,Art,9
60-399,Art History/Theory Independent Study,Art,9
60-400,Senior Review,Art,0
60-401,Senior Studio,Art,10
60-403,Senior Critique Seminar,Art,10
60-408,Advanced ETB: Digital Storytelling and Resistance,Art,10
60-405,Music Video / Visual Music,Art,10
60-415,Advanced ETB: Animation Studio,Art,10
60-421,Marginalized Narratives; Boundaries between Documentary and Fiction,Art,10
60-424,Data Gardens,Art,10
60-431,Advanced SIS: Installation,Art,10
60-433,Advanced SIS: Why Not Mud - Clay Sculpture,Art,10
60-430,Advanced SIS: Open Sculpture,Art,10
60-451,Advanced DP3: Concepts of Figuration,Art,10
60-469,Advanced DP3: Special Topic: Decisions and Revisions,Art,10
60-474,TBA,Art,10
60-473,Advanced DP3: Special Topic: Publishing as Artistic Practice,Art,10
60-701,M.F.A. Critical Studies Seminar I,Art,12
60-706,M.F.A. Contextual Practice,Art,12
60-713,MFA Thesis Writing II,Art,9
60-791,M.F.A. Integrative Seminar,Art,12
52-292,BXA Student Advisory Council,BXA Intercollege Degree Programs,3
52-190,BXA Seminar I: Building the Wunderkammer,BXA Intercollege Degree Programs,9
52-402,BXA Seminar V: Capstone Project Production,BXA Intercollege Degree Programs,9
03-050,Study Abroad,Biological Sciences,0
03-117,"Frontiers, Analysis, and Discovery in Biological Sciences",Biological Sciences,6
03-118,Beer: A Yeast's Perspective,Biological Sciences,6
03-120,"Germs The Good, The Bad, and the Ugly",Biological Sciences,6
03-124,Modern Biology Laboratory,Biological Sciences,9
03-121,Modern Biology,Biological Sciences,9
03-128,Environmental Science,Biological Sciences,9
03-125,Evolution,Biological Sciences,9
03-132,Basic Science to Modern Medicine,Biological Sciences,9
03-133,Neurobiology of Disease,Biological Sciences,9
03-135,Structure and Function of the Human Body,Biological Sciences,9
03-151,Honors Modern Biology,Biological Sciences,10
03-206,Biomedical Engineering Laboratory,Biological Sciences,9
03-221,"Genomes, Evolution, and Disease: Introduction to Quantitative Genetic Analysis",Biological Sciences,9
03-232,Biochemistry I,Biological Sciences,9
03-220,Genetics,Biological Sciences,9
03-320,Cell Biology,Biological Sciences,9
03-342,Introduction to Biological Laboratory Practices,Biological Sciences,1
03-350,Developmental Biology,Biological Sciences,9
03-343,Experimental Techniques in Molecular Biology,Biological Sciences,12
03-362,Cellular Neuroscience,Biological Sciences,9
03-380,Virology,Biological Sciences,9
03-435,Cancer Biology,Biological Sciences,9
03-439,Introduction to Biophysics,Biological Sciences,9
03-442,Molecular Biology,Biological Sciences,9
03-451,Advanced Developmental Biology and Human Health,Biological Sciences,9
03-511,Computational Molecular Biology and Genomics,Biological Sciences,9
03-534,Biological Imaging and Fluorescence Spectroscopy,Biological Sciences,9
03-701,Statistical Computing for Biological Sciences,Biological Sciences,6
03-702,Data Analysis for Biological Sciences,Biological Sciences,6
03-709,Applied Cell and Molecular Biology,Biological Sciences,12
03-711,Computational Molecular Biology and Genomics,Biological Sciences,12
03-742,Advanced Molecular Biology,Biological Sciences,12
03-747,Proposal Preparation and Peer Review,Biological Sciences,4
03-750,Graduate Seminar,Biological Sciences,1
03-751,Advanced Developmental Biology and Human Health,Biological Sciences,12
03-755,Graduate Research Seminar,Biological Sciences,3
03-758,Biosensors,Biological Sciences,6
03-762,Advanced Cellular Neuroscience,Biological Sciences,12
03-871,Structural Biophysics,Biological Sciences,12
42-050,Study Abroad,Biomedical Engineering,0
42-101,Introduction to Biomedical Engineering,Biomedical Engineering,12
42-201,Professional Issues in Biomedical Engineering,Biomedical Engineering,3
42-202,Physiology,Biomedical Engineering,9
42-203,Biomedical Engineering Laboratory,Biomedical Engineering,9
42-302,Biomedical Engineering Systems Modeling and Analysis,Biomedical Engineering,9
42-341,Introduction to Biomechanics,Biomedical Engineering,9
42-401,Foundation of BME Design,Biomedical Engineering,6
42-437,Biomedical Optical Imaging,Biomedical Engineering,9
42-411,Engineering Biomaterials,Biomedical Engineering,9
42-444,Medical Devices,Biomedical Engineering,9
42-611,Engineering Biomaterials,Biomedical Engineering,12
42-620,Engineering Molecular Cell Biology,Biomedical Engineering,12
42-631,Neural Data Analysis,Biomedical Engineering,9
42-640,Image-Based Computational Modeling and Analysis,Biomedical Engineering,12
42-673,TBA,Biomedical Engineering,9
42-674,Special Topics: Engineering for survival: ICU Medicine,Biomedical Engineering,9
42-676,Bio-nanotechnology: Principles and Applications,Biomedical Engineering,9
42-682,Bioinstrumentation and Measurement,Biomedical Engineering,12
42-677,Rehabilitation Engineering,Biomedical Engineering,9
42-684,Principles of Immunoengineering and Development of Immunotherapy Drugs,Biomedical Engineering,9
42-683,Introduction to Machine Learning for Biomedical Engineers,Biomedical Engineering,9
42-701,Biomedical Engineering Seminar,Biomedical Engineering,0
42-702,Advanced Physiology,Biomedical Engineering,12
42-744,Medical Devices,Biomedical Engineering,12
42-737,Biomedical Optical Imaging,Biomedical Engineering,12
42-790,Practicum in Biomedical Engineering,Biomedical Engineering,12
42-801,Biomedical Engineering Seminar,Biomedical Engineering,3
42-899,MS Thesis Final Presentation,Biomedical Engineering,0
42-996,Teaching Assistantship,Biomedical Engineering,2
42-997,PhD Qualifying Examination,Biomedical Engineering,0
42-998,Biomedical Engineering PhD Prospectus,Biomedical Engineering,0
42-999,Ph.D Thesis Defense,Biomedical Engineering,0
70-100,TBA,Business Administration,9
70-104,Business Leadership Endeavor I,Business Administration,3
70-106,TBA,Business Administration,9
70-122,Introduction to Accounting,Business Administration,9
70-201,Professional and Service Projects,Business Administration,9
70-207,Probability and Statistics for Business Applications,Business Administration,9
70-208,Regression Analysis,Business Administration,9
70-205,Business Leadership Endeavor II,Business Administration,4
70-246,Innovation & Entrepreneurial Mindset,Business Administration,6
70-257,Optimization for Business,Business Administration,9
70-305,Business Leadership Endeavor III,Business Administration,4
70-311,Organizational Behavior,Business Administration,9
70-318,Managing Effective Work Teams,Business Administration,9
70-321,Negotiation and Conflict Resolution,Business Administration,9
70-332,"Business, Society and Ethics",Business Administration,9
70-343,Interpersonal Communication,Business Administration,9
70-340,Business Communications,Business Administration,9
70-350,Acting for Business,Business Administration,9
70-365,International Trade and International Law,Business Administration,9
70-345,Business Presentations,Business Administration,9
70-371,Operations Management,Business Administration,9
70-395,Funding Entrepreneurial Ventures,Business Administration,9
70-381,Marketing I,Business Administration,9
70-401,Management Game,Business Administration,12
70-391,Finance,Business Administration,9
70-415,Introduction to Entrepreneurship,Business Administration,9
70-424,Corporate Financial Reporting,Business Administration,9
70-430,International Management,Business Administration,9
70-428,Financial Statement Analysis,Business Administration,9
70-443,Digital Marketing and Social Media Strategy,Business Administration,9
70-448,"Leadership, Innovation and Entrepreneurship",Business Administration,9
70-447,Client Consulting Project: Strategic Management of the Enterprise,Business Administration,12
70-440,Corporate Strategy,Business Administration,9
70-453,Business Technology for Consulting,Business Administration,9
70-455,Modern Data Management,Business Administration,9
70-476,Service Operations Management,Business Administration,9
70-460,Mathematical Models for Consulting,Business Administration,9
70-477,Real Options: Creating Value Beyond NPV,Business Administration,9
70-481,Marketing Research,Business Administration,9
70-482,Pricing Strategy,Business Administration,9
70-483,Advertising and Marketing Communications,Business Administration,9
70-485,Product and Brand Management,Business Administration,9
70-495,Corporate Finance,Business Administration,9
70-499,Internship,Business Administration,3
70-497,Derivative Securities,Business Administration,9
62-106,Architecture and the Arts,CFA Interdisciplinary,9
62-050,Study Abroad,CFA Interdisciplinary,0
62-125,Drawing I,CFA Interdisciplinary,6
62-122,Digital Media I,CFA Interdisciplinary,6
62-142,Digital Photography I,CFA Interdisciplinary,10
62-141,Black and White Photography I,CFA Interdisciplinary,10
62-145,Photojournalism,CFA Interdisciplinary,10
62-150,Introduction to Textile Media,CFA Interdisciplinary,10
62-194,Playwriting,CFA Interdisciplinary,9
62-187,Introduction to Playwriting,CFA Interdisciplinary,9
62-214,Photography and the Narrative of Place,CFA Interdisciplinary,5
62-208,Alternative Photography: Contemporary Antiquarian Printmaking,CFA Interdisciplinary,5
62-216,Color Explosions,CFA Interdisciplinary,3
62-217,Ornaments and Holiday Adornments,CFA Interdisciplinary,3
62-219,Sculpting with Moretti,CFA Interdisciplinary,3
62-220,Kilnformed and Coldworked Jewelry,CFA Interdisciplinary,3
62-239,"Reading Pictures, Writing Photography",CFA Interdisciplinary,9
62-225,Generative Modeling,CFA Interdisciplinary,9
62-241,Black and White Photography II,CFA Interdisciplinary,10
62-242,Digital Photography II,CFA Interdisciplinary,10
62-247,Hot Glass I,CFA Interdisciplinary,3
62-246,Solid Miniatures,CFA Interdisciplinary,3
62-255,Imagery Processes Galore,CFA Interdisciplinary,3
62-257,Networking,CFA Interdisciplinary,3
62-261,Cold Cuts and Lamination,CFA Interdisciplinary,3
62-314,The Art of Personal Finance,CFA Interdisciplinary,6
62-344,Mosaics,CFA Interdisciplinary,3
62-347,Hot Glass II,CFA Interdisciplinary,3
62-362,Activating the Body: Physical Computing and Technology in Performance,CFA Interdisciplinary,10
62-371,"Photography, The First 100 Years, 1839-1939",CFA Interdisciplinary,9
62-432,Blown Miniatures,CFA Interdisciplinary,3
62-435,Intermediate Casting and Open Projects,CFA Interdisciplinary,3
62-439,Intro to Tubing,CFA Interdisciplinary,3
62-450,Flame I,CFA Interdisciplinary,3
62-446,Hot Glass III,CFA Interdisciplinary,3
62-452,Flame II,CFA Interdisciplinary,3
62-451,Fun with Fusing,CFA Interdisciplinary,3
62-453,Introduction to Fusing and Slumping,CFA Interdisciplinary,3
62-458,"Beads, Beads, and More Beads",CFA Interdisciplinary,3
62-459,Intro to Stained Glass,CFA Interdisciplinary,3
62-461,Coldworking Open Projects,CFA Interdisciplinary,3
62-467,Hot Glass IV Open Projects,CFA Interdisciplinary,3
62-470,Stained Glass Open Projects,CFA Interdisciplinary,3
62-478,digiTOOL,CFA Interdisciplinary,6
62-485,wats:ON 2019: NOW.,CFA Interdisciplinary,10
62-706,Generative Systems for Design,CFA Interdisciplinary,12
62-713,Arts Facilities Management,CFA Interdisciplinary,6
62-785,wats:ON 2019: NOW.,CFA Interdisciplinary,10
62-736,International Perspectives on Managing Arts and Heritage,CFA Interdisciplinary,6
39-109,CIT Freshman Seminar: Climate Change,CIT Interdisciplinary,9
39-050,Study Abroad,CIT Interdisciplinary,0
39-120,CIT Internship,CIT Interdisciplinary,0
39-210,Experiential Learning I,CIT Interdisciplinary,0
39-220,Experiential Learning II,CIT Interdisciplinary,0
39-310,Experiential Learning III,CIT Interdisciplinary,0
39-402,Leadership Development Seminar,CIT Interdisciplinary,9
39-601,Special Topics: Additive Manufacturing Processing and Product Development,CIT Interdisciplinary,12
39-610,Energy Conversion and Supply,CIT Interdisciplinary,6
39-605,Engineering Design Projects,CIT Interdisciplinary,12
39-602,Additive Manufacturing and Materials,CIT Interdisciplinary,12
39-613,Energy Transport and Storage,CIT Interdisciplinary,6
39-699,Career & Professional Development for Engineering Masters Students,CIT Interdisciplinary,3
39-810,CPS Seminar,CIT Interdisciplinary,1
99-153,Mindful Living,Carnegie Mellon University-Wide Studies,3
99-190,"Managing Stress, Restoring Harmony",Carnegie Mellon University-Wide Studies,6
99-194,Intimate Relationships & Sexual Health,Carnegie Mellon University-Wide Studies,6
99-101,Computing @ Carnegie Mellon,Carnegie Mellon University-Wide Studies,3
99-195,Wellness and Resilience for College and Beyond,Carnegie Mellon University-Wide Studies,6
99-352,IDeATe: Soft Fabrication Skills,Carnegie Mellon University-Wide Studies,1
99-347,Global Health: Gender Equality,Carnegie Mellon University-Wide Studies,3
99-353,IDeATe: CAD and Laser Cutting,Carnegie Mellon University-Wide Studies,1
99-355,IDeATe: Introduction to Arduino,Carnegie Mellon University-Wide Studies,1
99-357,IDeATe: Pragmatic Phototgraphy,Carnegie Mellon University-Wide Studies,1
99-358,IDeATe: Introduction to the Unity Game Engine,Carnegie Mellon University-Wide Studies,1
99-359,IDeATe: 3D Modeling and 3D Printing,Carnegie Mellon University-Wide Studies,1
99-360,IDeATe: E-Textiles,Carnegie Mellon University-Wide Studies,1
99-452,Language and Culture for Teaching,Carnegie Mellon University-Wide Studies,3
99-530,Senior Preparation Seminar,Carnegie Mellon University-Wide Studies,6
99-735,Proseminar in Entrepreneurial Leadership,Carnegie Mellon University-Wide Studies,1
86-375,Computational Perception,Center for the Neural Basis of Cognition,9
86-675,Computational Perception,Center for the Neural Basis of Cognition,12
86-631,Neural Data Analysis,Center for the Neural Basis of Cognition,9
06-050,Study Abroad,Chemical Engineering,45
06-100,Introduction to Chemical Engineering,Chemical Engineering,12
06-221,Thermodynamics,Chemical Engineering,9
06-222,Sophomore Chemical Engineering Seminar,Chemical Engineering,1
06-321,Chemical Engineering Thermodynamics,Chemical Engineering,9
06-322,Junior Chemical Engineering Seminar,Chemical Engineering,2
06-323,Heat and Mass Transfer,Chemical Engineering,9
06-421,Chemical Process Systems Design,Chemical Engineering,12
06-423,Unit Operations Laboratory,Chemical Engineering,9
06-426,Experimental Colloid Surface Science,Chemical Engineering,9
06-500,Special Topics: Prin of Immunoengineering and Development of Immunotherapy Drugs,Chemical Engineering,9
06-608,Safety Issues in Science and Engineering Practice,Chemical Engineering,3
06-609,Physical Chemistry of Macromolecules,Chemical Engineering,9
06-611,Special Topics: Computer Science in Chemical Engineering,Chemical Engineering,9
06-622,Bioprocess Design,Chemical Engineering,9
06-623,Mathmatical Modeling of Chemical Engineering Processes,Chemical Engineering,12
06-635,Production and Supply Chain Optimization,Chemical Engineering,12
06-625,Chemical and Reactive Systems,Chemical Engineering,12
06-703,Advanced Fluid Dynamics,Chemical Engineering,12
06-722,BioProcess Design,Chemical Engineering,12
06-713,Mathematical Techniques in Chemical Engineering,Chemical Engineering,12
06-705,Advanced Chemical Engineering Thermodynamics,Chemical Engineering,12
06-800,Chemical Engineering Graduate Seminar,Chemical Engineering,1
06-810,CPS Seminar,Chemical Engineering,1
06-820,PSE Seminar,Chemical Engineering,1
06-907,Communication in Chemical Engineering,Chemical Engineering,9
09-050,Study Abroad,Chemistry,0
09-101,Introduction to Experimental Chemistry,Chemistry,3
09-105,Introduction to Modern Chemistry I,Chemistry,10
09-106,Modern Chemistry II,Chemistry,10
09-107,"Honors Chemistry: Fundamentals, Concepts and Applications",Chemistry,10
09-108,The Illusion and Magic of Food,Chemistry,6
09-115,Introduction to Undergraduate Research in Chemistry,Chemistry,2
09-122,Molecular Tools for Biological and Chemical Studies,Chemistry,6
09-201,Undergraduate Seminar I,Chemistry,1
09-207,TBA,Chemistry,9
09-214,Physical Chemistry,Chemistry,9
09-219,Modern Organic Chemistry,Chemistry,10
09-217,Organic Chemistry I,Chemistry,9
09-221,Laboratory I:  Introduction to Chemical Analysis,Chemistry,12
09-225,"Climate Change: Chemistry, Physics and Planetary Science",Chemistry,9
09-301,Undergraduate Seminar III,Chemistry,1
09-231,Mathematical Methods for Chemists,Chemistry,9
09-323,Bioorganic Chemistry Laboratory,Chemistry,12
09-321,Laboratory III: Molecular Design and Synthesis,Chemistry,12
09-344,Physical Chemistry (Quantum): Microscopic Principles of Physical Chemistry,Chemistry,9
09-347,Advanced Physical Chemistry,Chemistry,12
09-401,Undergraduate Seminar V,Chemistry,1
09-402,Undergraduate Seminar VI,Chemistry,3
09-403,Chemistry of Addiction,Chemistry,9
09-519,"Bioorganic Chemistry: Peptides, Proteins and Combinatorial Chemistry",Chemistry,9
09-509,Physical Chemistry of Macromolecules,Chemistry,9
09-522,Kinetics and Mechanisms of Enzymatic Reactions,Chemistry,9
09-529,Introduction to Sustainable Energy Science,Chemistry,9
09-536,Transition Metal Catalysis for Organic and Polymer Synthesis,Chemistry,9
09-603,Mathematical Analysis for Chemistry,Chemistry,6
09-612,Introduction to Quantum Chemistry,Chemistry,6
09-700,Introduction to Research,Chemistry,3
09-715,Physical Chemistry of Macromolecules,Chemistry,12
09-719,"Bioorganic Chemistry: Peptides, Proteins and Combinatorial Chemistry",Chemistry,12
09-720,Physical Inorganic Chemistry,Chemistry,12
09-722,Kinetics and Mechanisms of Enzymatic Reactions,Chemistry,12
09-733,Chemistry and Light,Chemistry,12
09-729,Introduction to Sustainable Energy Science,Chemistry,12
09-736,Transition Metal Catalysis for Organic and Polymer Synthesis,Chemistry,12
09-801,Special Topics in Physical Chemistry: Computational Tools for Molecular Science,Chemistry,12
09-803,Chemistry of Gene Expression,Chemistry,12
09-871,Doctoral Dissertation,Chemistry,5
09-911,Graduate Seminar,Chemistry,1
09-912,Current Research in Chemistry,Chemistry,1
12-050,Study Abroad,Civil & Environmental Engineering,0
12-100,TBA,Civil & Environmental Engineering,12
12-200,CEE Challenges: Design in a Changing World,Civil & Environmental Engineering,9
12-201,Geology,Civil & Environmental Engineering,9
12-212,Statics,Civil & Environmental Engineering,9
12-215,Introduction to Professional Writing in CEE,Civil & Environmental Engineering,9
12-301,"CEE Projects: Designing the Built, Natural and Information Environments",Civil & Environmental Engineering,9
12-320,TBA,Civil & Environmental Engineering,9
12-335,Soil Mechanics,Civil & Environmental Engineering,9
12-336,TBA,Civil & Environmental Engineering,3
12-355,Fluid Mechanics,Civil & Environmental Engineering,9
12-401,Civil & Environmental Engineering Design,Civil & Environmental Engineering,15
12-411,Project Management for Construction,Civil & Environmental Engineering,9
12-356,TBA,Civil & Environmental Engineering,3
12-421,Engineering Economics,Civil & Environmental Engineering,6
12-612,Intro to Sustainable Engineering,Civil & Environmental Engineering,9
12-600,AutoCAD,Civil & Environmental Engineering,3
12-606,TBA,Civil & Environmental Engineering,6
12-629,Environmental Microbiology for Engineers,Civil & Environmental Engineering,9
12-635,Structural Analysis,Civil & Environmental Engineering,9
12-645,Smart Cities: Growth and Intelligent Transportation Systems,Civil & Environmental Engineering,6
12-651,TBA,Civil & Environmental Engineering,9
12-659,Special Topics: Matlab,Civil & Environmental Engineering,6
12-702,Fundamentals of Water Quality Engineering,Civil & Environmental Engineering,12
12-703,Numerical Methods in Engineering,Civil & Environmental Engineering,12
12-709,Data Analytics for Engineered Systems,Civil & Environmental Engineering,12
12-706,Civil Systems Investment Planning and Pricing,Civil & Environmental Engineering,12
12-704,Probability and Estimation Methods for Engineering Systems,Civil & Environmental Engineering,12
12-712,Sustainable Engineering Principles,Civil & Environmental Engineering,12
12-729,Environmental Microbiology for Engineers,Civil & Environmental Engineering,12
12-740,Data Acquisition,Civil & Environmental Engineering,6
12-720,Water Resources Chemistry,Civil & Environmental Engineering,12
12-741,Data Management,Civil & Environmental Engineering,6
12-746,Special Topics: Fundamental Python Prototyping for Infrastructure Systems,Civil & Environmental Engineering,6
12-747,Sustainable Buildings,Civil & Environmental Engineering,6
12-748,Mechanical and Electrical System Design for Buildings,Civil & Environmental Engineering,6
12-751,TBA,Civil & Environmental Engineering,12
12-755,TBA,Civil & Environmental Engineering,12
12-766,Special Topics: Climate Change Science and Solutions,Civil & Environmental Engineering,12
12-775,Introduction to Solid Mechanics I,Civil & Environmental Engineering,12
12-780,Special Topics: Advanced Python and Web Prototyping for Infrastructure Systems,Civil & Environmental Engineering,6
12-783,TBA,Civil & Environmental Engineering,12
12-790,Teaching Workshop,Civil & Environmental Engineering,0
12-793,Graduate Teaching Assignment,Civil & Environmental Engineering,0
12-794,Graduate Seminar,Civil & Environmental Engineering,0
12-798,Professional Communication for CEE Grad Students,Civil & Environmental Engineering,3
93-703,Arts Enterprises:  Management & Structures,Creative Enterprise:Sch of Pub Pol & Mgt,12
93-717,Writing for Creative Industries,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-778,The future on film: From Meilies to Spielberg to Bong Joon-ho,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-808,Exhibitions Management,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-809,Public Art,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-811,Producing a Performing Arts Season,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-813,Arts Facilities Management,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-828,Advanced Topics in Fundraising,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-830,Disruptive Technologies in Arts Enterprises,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-831,Law and the Arts,Creative Enterprise:Sch of Pub Pol & Mgt,12
93-832,Arts & Community Development,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-836,International Perspectives on Managing Arts and Heritage,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-837,Artistic Development in the Music Industry,Creative Enterprise:Sch of Pub Pol & Mgt,3
93-851,"Film Economics, Marketing & Distribution",Creative Enterprise:Sch of Pub Pol & Mgt,12
93-847,Arts Management Professional Seminar I,Creative Enterprise:Sch of Pub Pol & Mgt,0
93-852,Production Management,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-853,Digital Innovation and Entrepreneurship,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-857,Business of Gaming,Creative Enterprise:Sch of Pub Pol & Mgt,4
93-861,Script/Story Analysis,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-864,Music Monetization & Song Realities,Creative Enterprise:Sch of Pub Pol & Mgt,3
93-871,Television Business and Legal Affairs,Creative Enterprise:Sch of Pub Pol & Mgt,9
93-876,Television Marketing and Advertising,Creative Enterprise:Sch of Pub Pol & Mgt,6
93-872,Music Supervision,Creative Enterprise:Sch of Pub Pol & Mgt,3
93-879,Navigating the Practical Realities of the Film Industry,Creative Enterprise:Sch of Pub Pol & Mgt,3
93-887,Practicum I,Creative Enterprise:Sch of Pub Pol & Mgt,1
93-889,Capstone Management Project I,Creative Enterprise:Sch of Pub Pol & Mgt,3
51-052,Domestic Study,Design,36
51-050,Study Abroad,Design,0
51-101,Studio: Survey of Design,Design,10
51-121,Visualizing,Design,10
51-173,Design Center: Human Experience in Design,Design,9
51-171,Placing,Design,10
51-215,Making Short Films,Design,3
51-221,"Color for Communications, Products, Environments",Design,9
51-225,Communications Studio I: Understanding Form & Context,Design,4
51-229,Digital Photographic Imaging,Design,9
51-227,Prototyping Lab I: Communications,Design,4
51-231,Design Center: Calligraphy I,Design,9
51-232,Design Center: Calligraphy II,Design,9
51-242,How Things Work: Mechanics and Electronics,Design,9
51-245,Products Studio I: Understanding Form & Context,Design,4
51-247,Prototyping Lab I: Products,Design,4
51-261,Design Center: Communication Design Fundmntls: IxD for Communications,Design,9
51-265,Environments Studio I: Understanding Form & Context,Design,4
51-267,Prototyping Lab I: Environments,Design,4
51-271,How People Work,Design,9
51-323,Communications Studio III: Designing for Complex Communication Systems,Design,9
51-324,Basic 3D Prototyping,Design,4
51-331,Design Center: Advanced Calligraphy I,Design,9
51-332,Design Center: Advanced Calligraphy II,Design,9
51-341,How Things are Made,Design,9
51-343,Products Studio III: Designing for Complex Products Systems,Design,9
51-349,Visual Notation/Journaling,Design,9
51-363,Environments Studio III: Designing for Complex Environment Systems,Design,9
51-367,Design Center: Computational Design Thinking,Design,9
51-373,Futures II,Design,4
51-371,Futures I,Design,4
51-421,Design Center: Data Visualization,Design,9
51-425,Design Center: Beginning Book Arts Lab,Design,6
51-427,Advanced Book Arts Workshop,Design,9
51-441,Foundation of BME Design,Design,6
51-451,Fundamentals of Joinery & Furniture Design,Design,9
